电视直播源群：189203334Vip直播源群：1149691044
﻿电影,#genre#
老电影故事[1280*720],http://kuqq.tk/00/huya.php?id=15267139
老炮说电影[1920*1080],http://kuqq.tk/00/huya.php?id=15454716
阿祥说电影[1920*1080],http://kuqq.tk/00/huya.php?id=16868935
疯狂解说家[1920*1080],http://kuqq.tk/00/huya.php?id=18366196
马桶吐槽[1920*1080],http://kuqq.tk/00/huya.php?id=17089779
默爷侃电影[1920*1080],http://kuqq.tk/00/huya.php?id=17204307
晓杰侃电影[1916*1076],http://kuqq.tk/00/huya.php?id=17279509
娘子说电影[1280*720],http://kuqq.tk/00/huya.php?id=18964209
影视新起点[1920*1080],http://kuqq.tk/00/huya.php?id=16102581
嫦娥撩电影[1920*1080],http://kuqq.tk/00/huya.php?id=18201106
猎影派[1920*1080],http://kuqq.tk/00/huya.php?id=16099968
方头人讲故事[1920*1080],http://kuqq.tk/00/huya.php?id=16604314
比尔电影[1280*720],http://kuqq.tk/00/huya.php?id=17227870
沫漾电影[1920*1080],http://kuqq.tk/00/huya.php?id=15556391
影音炫客[1920*1080],http://kuqq.tk/00/huya.php?id=17811579
虎妞说电影[1920*1080],http://kuqq.tk/00/huya.php?id=20343144
雷舌电影[1920*1080],http://kuqq.tk/00/huya.php?id=18368038
关灯看大片[1280*676],http://kuqq.tk/00/huya.php?id=16135863
电影充电站[1280*720],http://kuqq.tk/00/huya.php?id=20064385
可乐撩电影[1280*720],http://kuqq.tk/00/huya.php?id=20045465
性格刺青[1920*1080],http://kuqq.tk/00/huya.php?id=cq666
小冉看电影[1920*1080],http://kuqq.tk/00/huya.php?id=17341907
韩小囧说电影[1920*1080],http://kuqq.tk/00/huya.php?id=20695907
小林讲电影[1920*1080],http://kuqq.tk/00/huya.php?id=18368391
电影享不停[1920*1080],http://kuqq.tk/00/huya.php?id=16873147
小冷说电影[1920*1080],http://kuqq.tk/00/huya.php?id=16739452
无比看电影精选[1920*1080],http://kuqq.tk/00/huya.php?id=19450129
Sir说电影[1920*1080],http://kuqq.tk/00/huya.php?id=sirdy
泡面微剧场[1920*1080],http://kuqq.tk/00/huya.php?id=18368221
电影十里廊[1280*720],http://kuqq.tk/00/huya.php?id=16801558
万人影视[1920*1080],http://kuqq.tk/00/huya.php?id=16914870
阿钙扒瞎[1920*1080],http://kuqq.tk/00/huya.php?id=15978172
USA大蛇恐怖[1920*1080],http://kuqq.tk/00/huya.php?id=19564134
千万别得罪妹纸[1280*720],http://kuqq.tk/00/huya.php?id=11352878
【春秋战国】乱世出英雄[1080*810],http://kuqq.tk/00/huya.php?id=11602082
武当首徒与明月城主的爱情故事[1920*1080],http://kuqq.tk/00/huya.php?id=11352916
打工人永不服输！[1280*720],http://kuqq.tk/00/huya.php?id=11336590
老白涮肉坊·葵花点穴手[720*436],http://kuqq.tk/00/huya.php?id=11352915
铁齿铜ya纪晓岚 经典铁三角组合[512*384],http://kuqq.tk/00/huya.php?id=11342396
滚滚长江东逝水[1280*720],http://kuqq.tk/00/huya.php?id=11352944
六大门派围攻光明顶·马甲掉了[704*576],http://kuqq.tk/00/huya.php?id=11342403
我是谢飞机 别扒拉我[1024*576],http://kuqq.tk/00/huya.php?id=11602068
胡八一胖子沙漠古城找鬼洞[848*480],http://kuqq.tk/00/huya.php?id=11352871
还猪格格 保护我家蓉儿[704*524],http://kuqq.tk/00/huya.php?id=11601958
康熙大帝的传奇一生[720*528],http://kuqq.tk/00/huya.php?id=11352940
康熙·民间私访[704*528],http://kuqq.tk/00/huya.php?id=11342418
许三多军营成长史[624*336],http://kuqq.tk/00/huya.php?id=11342430
新水hu·在下正是西公子！[1104*622],http://kuqq.tk/00/huya.php?id=11342384
少年包青天美黑之旅[720*432],http://kuqq.tk/00/huya.php?id=11342393
背井离乡闯关东[1280*720],http://kuqq.tk/00/huya.php?id=11342394
搞笑的一家人[480*384],http://kuqq.tk/00/huya.php?id=11342402
【经典】桃园结义三兄弟[1280*720],http://kuqq.tk/00/huya.php?id=11602081
相识、相知、相爱、相守的父母爱情[960*540],http://kuqq.tk/00/huya.php?id=11602071
我有一个叫顺溜的兄弟[640*480],http://kuqq.tk/00/huya.php?id=11601957
龙men·卖还是不卖？这是个问题[960*540],http://kuqq.tk/00/huya.php?id=11352874
夏雪夏雨夏冰雹[480*360],http://kuqq.tk/00/huya.php?id=11352872
谢耳朵上线 生活da爆炸[1280*720],http://kuqq.tk/00/huya.php?id=21059559
【超级交通站】抗ri情景喜剧[448*336],http://kuqq.tk/00/huya.php?id=11342433
【邻li一家亲】满院白眼狼[1920*1080],http://kuqq.tk/00/huya.php?id=11342426
狄仁杰：元芳 你怎么看？[1280*720],http://kuqq.tk/00/huya.php?id=11352958
大型励志连续剧：搞钱[1280*720],http://kuqq.tk/00/huya.php?id=11342432
北有谢广坤，南有苏大强[896*504],http://kuqq.tk/00/huya.php?id=11352979
你怎么看待六子哥[720*400],http://kuqq.tk/00/huya.php?id=11602086
快来追！yang光的快乐生活[832*624],http://kuqq.tk/00/huya.php?id=11602085
霸星降世横扫六国[1280*720],http://kuqq.tk/00/huya.php?id=11352975
一代强秦崛起之路[1024*576],http://kuqq.tk/00/huya.php?id=11602074
雍正皇帝的风云一生[640*480],http://kuqq.tk/00/huya.php?id=11342439
火凤凰女子特战队[640*480],http://kuqq.tk/00/huya.php?id=11601982
yi馆笑传 oh天长地久[960*540],http://kuqq.tk/00/huya.php?id=11352891
葛二蛋成长之路[852*480],http://kuqq.tk/00/huya.php?id=11602072
这一版的东方不败我爱了[352*288],http://kuqq.tk/00/huya.php?id=11601962
炊事班de故事3·柴米油盐[352*288],http://kuqq.tk/00/huya.php?id=19524135
神医必备 红烧狮子头[1104*622],http://kuqq.tk/00/huya.php?id=11601978
神貂侠侣·小笼包版姑姑上线[1280*720],http://kuqq.tk/00/huya.php?id=11352964
盗墓bi记少年篇[352*288],http://kuqq.tk/00/huya.php?id=11602065
徐峥诠释小人物也能有大作为[480*852],http://kuqq.tk/00/huya.php?id=11602055
普通人的奋斗史诗[576*432],http://kuqq.tk/00/huya.php?id=11352936
金庸老先生的武侠良心剧[640*352],http://kuqq.tk/00/huya.php?id=11352949
精忠岳飞，南征北战[380*288],http://kuqq.tk/00/huya.php?id=11336578
蒋家王朝覆灭[723*492],http://kuqq.tk/00/huya.php?id=11352912
新版开炮你觉得怎么样[1080*606],http://kuqq.tk/00/huya.php?id=11352881
胡歌的宇文拓从反派到正派修补天之痕[720*404],http://kuqq.tk/00/huya.php?id=11352899
看这部剧的人，估计都老了吧[720*440],http://kuqq.tk/00/huya.php?id=10871113
东北yi家人·街坊一家亲[1280*720],http://kuqq.tk/00/huya.php?id=11342398
【我de团长我的团】超燃抗战[640*400],http://kuqq.tk/00/huya.php?id=11342416
情深深·民国渣男何书桓[1920*1080],http://kuqq.tk/00/huya.php?id=11352885
小时候深深地被长今的可爱形象吸引住了[1280*720],http://kuqq.tk/00/huya.php?id=11342423
雪豹姊妹篇黑狐[1280*816],http://kuqq.tk/00/huya.php?id=11342420
俺们那嘎都是东北人[1104*622],http://kuqq.tk/00/huya.php?id=11336726
看江流儿一步步的蜕变[720*576],http://kuqq.tk/00/huya.php?id=11352918
唐嫣罗晋 爱江山更爱美人[1280*720],http://kuqq.tk/00/huya.php?id=11601971
不要啊！秋香姐！[1280*720],http://kuqq.tk/00/huya.php?id=23865025
七仙女和董永之间的爱情故事[582*432],http://kuqq.tk/00/huya.php?id=11352892
阿sir有钱真的了不起！[1280*720],http://kuqq.tk/00/huya.php?id=23865058
快上通往霍格沃茨的列车[704*518],http://kuqq.tk/00/huya.php?id=11602046
当年的90后长大了，他们杀回来了[1280*720],http://kuqq.tk/00/huya.php?id=11279251
篮qiu火  我就静静看你炫技[384*288],http://kuqq.tk/00/huya.php?id=21059558
阿达!李小龙在此[1280*720],http://kuqq.tk/00/huya.php?id=11352973
最经典的宝莲灯[1920*1080],http://kuqq.tk/00/huya.php?id=11352960
道长·国产搞笑僵尸片[1280*696],http://kuqq.tk/00/huya.php?id=11352963
胡歌版董永和天仙小七间的故事[1280*528],http://kuqq.tk/00/huya.php?id=11601981
正邪相斗，情义两难[640*480],http://kuqq.tk/00/huya.php?id=11342397
一个关于信仰、爱和希望的故事[1920*1080],http://kuqq.tk/00/huya.php?id=11352880
这个韦小宝有点憨啊[1920*1083],http://kuqq.tk/00/huya.php?id=11352910
变形金刚：领.袖之证[1280*720],http://kuqq.tk/00/huya.php?id=11342395
三大家族的爱恨情仇[1920*1080],http://kuqq.tk/00/huya.php?id=11601965
炳万族族长ling导丛林法则[1920*1080],http://kuqq.tk/00/huya.php?id=11602041
谍战外壳下的理智与情感[1280*720],http://kuqq.tk/00/huya.php?id=11342400
文臣死谏，武将死战[1024*440],http://kuqq.tk/00/huya.php?id=11601972
陈道明版越王勾践雪耻复仇[576*432],http://kuqq.tk/00/huya.php?id=11342437
杨幂版如姬窃符救赵[1920*1080],http://kuqq.tk/00/huya.php?id=11602088
中韩合播西安修行[1024*576],http://kuqq.tk/00/huya.php?id=11352934
